CpGmarker,chr:coord_hg19,RNF2_ENCFF071CIY,RNF2_ENCFF857HEZ,RNF2_ENCFF320VKN,RNF2_ENCFF847TGB
cg00105470,chr1:228290868,6.4980161998634625,1.1729077788957039,1.563788826477498,0.6959399020582661
cg00290506,chr1:224804226,0.6238384819090218,0.559758872462627,0.4736953093078071,0.40183356671856524
cg00476580,chr1:150207583,1.3615172166479497,0.7071470341777564,1.300899750871254,0.5211529919780103
cg00565688,chr1:3568212,1.191805623861917,0.581580175797541,0.6260805265267294,0.7212675329009791
cg00630164,chr1:41250062,5.072837581063744,1.6040095318285308,1.4420891033666687,1.5220774060249924
cg00650762,chr1:23037368,1.1781890374466666,0.5490666766862322,0.05532007518589051,0.0
cg00712898,chr1:109235208,1.9556444901183359,1.4528996507425855,1.4054594292605012,1.1412806010008454
cg00930078,chr1:224301953,1.0955522434967118,1.7088756415612085,1.3574610471428183,0.8367292760613553
cg00941229,chr1:149982400,1.3656825258993448,1.0442139156292798,1.597919824711997,0.7771964843136414
cg01419479,chr1:182360822,2.832533073692845,3.6774553705629267,2.0006633916697893,0.9017527467592101
cg01990334,chr1:42801334,1.5781114802990768,1.4860721244627697,2.064669496103415,1.2155774851838252
cg02008416,chr1:55445880,1.8782872568044877,0.6585124676067038,0.4890088762279758,0.9129467330817272
cg02397514,chr1:935139,5.135909252927785,1.7984789077777814,1.6699842368426763,0.9812367296129688
cg02849695,chr1:159869960,2.795487077753443,1.554371402002035,1.2231175521959985,0.5282938406428791
cg02850329,chr1:24829455,2.8988027991796668,0.9522002814267936,0.30865431274113214,0.004549177135909882
cg03085637,chr1:145516630,1.4713368646967737,0.806138951136287,1.0910389734027985,1.0893452901792646
cg03115649,chr1:179851535,2.740435723949252,1.5108759866985597,1.3676006740465425,0.8286919955006264
cg03152785,chr1:110753723,4.410891150298559,1.941251814959947,2.2054788025834613,2.873157863010492
cg03229887,chr1:45452240,7.219905826516282,2.2241328681199035,1.9472620210742713,1.0021228411251173
cg03271651,chr1:151431849,1.6911860853062008,1.5610806761016869,0.9734797266281751,0.24322234510334947
cg03716942,chr1:1821981,1.4943932366192787,0.5382267101818784,0.37001890280374566,0.06749930262491292
cg03716999,chr1:6265802,2.480321726894141,0.43719399324676345,1.1462927677684889,0.9081337151681991
cg03861428,chr1:17380702,1.5190648338443917,0.8490024428266539,0.6022725715452893,0.3283822698857719
cg04185893,chr1:97187305,1.660944688944448,1.4082769554600751,1.341852067414662,0.7717802999657288
cg04317543,chr1:156084516,3.576199293582517,1.1471862608655135,1.3884732622160876,0.8681760622081613
cg04453065,chr1:86046661,3.5676194875317617,1.618456108314438,1.4360044167523371,1.76983305596354
cg04564646,chr1:113217655,2.1103767694677797,1.4177422168248908,1.6581505208538654,0.8940394002005941
cg05027081,chr1:91966616,2.558863811510757,1.4772510714364468,1.6207391778727125,1.305151168990908
cg05321960,chr1:155904084,1.7544052622413397,1.1666626417428776,1.026247252698551,0.8671579049561089
cg05436231,chr1:27709789,2.941416559968506,0.687413664084123,0.8925011425541524,1.195201601173515
cg05675373,chr1:110754257,1.6866468724764494,1.2170665079816023,1.031966456005401,1.2398646668788798
cg06038049,chr1:1259909,3.884127737578014,1.2100316784031075,1.4452521939230085,0.7198286067294956
cg06240849,chr1:47184738,2.619610348990433,2.620283642611896,1.1967144400401604,0.58611448922954
cg06251129,chr1:155990657,1.745468656544079,1.068616508508561,0.7615576545496534,0.5103337365734458
cg06324094,chr1:153950482,2.0700125453478084,0.9968511251142792,1.184070024704398,0.9067220157221368
cg06377278,chr1:25256369,1.8417259133664747,0.8348547378531715,0.25002199329640207,0.1115462590482764
cg06382459,chr1:2159373,2.2227697546345335,1.2891121498144178,0.4146120178134661,0.08649428894840869
cg06394897,chr1:33502464,3.056931383889215,1.9444365381748598,2.554143762053397,1.9416201248430551
cg06449653,chr1:23670777,2.49515937584594,2.416517409154602,0.9294465081650123,0.2546372052997425
cg06615861,chr1:10271191,1.3891746543738015,1.0262081546527786,1.6919201736586944,1.0968417453201038
cg06744574,chr1:49242359,0.0,0.1562852930844276,0.1475986061232197,0.037467856210960715
cg06752594,chr1:109825964,3.7731859273744046,1.6351879572035963,1.3341199269615802,0.85065396156097
cg07248310,chr1:60280716,0.6450688400470705,0.3553043458229883,0.23859184828036445,0.08012663515428653
cg07274506,chr1:6614341,3.1303875707926,0.9236636390709817,1.0211635150219733,0.2743372558581264
cg07387450,chr1:93646168,2.079185701367861,2.5639518398299184,0.6124104725898353,0.5097862828402151
cg07453618,chr1:3541082,4.656544333978782,1.3308375593730042,1.5844747383992868,0.735107409835159
cg07533148,chr1:248020812,3.6772590566454384,1.575061347716467,0.9451517957701647,0.3179418456989185
cg07536847,chr1:18957232,0.9836401460771251,1.025274894778568,1.208581892629514,0.93370121613405
cg07761912,chr1:179846929,2.0527736959314704,1.3172450866782457,1.1975194547241763,0.7161656379551067
cg07766612,chr1:26372887,0.6862165183943704,0.4464989266267738,0.1525794270255619,0.30353738014537496
cg08080029,chr1:6239970,0.300572769748897,0.12731317049844604,0.0,0.0
cg08156349,chr1:156470327,3.0896402915516994,1.2281639406508638,1.0690299713998066,0.666965040408465
cg08185241,chr1:209848864,3.843111915481358,2.33498352572805,3.5778505094628086,0.8504044178715371
cg08460435,chr1:109203610,0.3953171066958411,0.26358306404212467,0.07147453769000986,0.0
cg08643928,chr1:178694481,2.2864251495745416,1.470301728296161,0.9358874585414468,0.10988493780245508
cg08661290,chr1:6674110,1.4943278086304368,0.890938526228479,0.8438934408072521,0.255558330277701
cg08755040,chr1:180124539,1.8365791924576509,0.7396678832403739,1.607488801354482,1.5630643731935363
cg09255666,chr1:200378965,1.1201279985339863,0.9750124224254912,1.4848241364569439,0.789747030360443
cg09383789,chr1:1051364,1.771445070864851,1.253801767516909,0.92531743199748,0.3118639644839223
cg10074513,chr1:3541656,2.952006933843703,0.4527224201402462,0.26237481273246227,0.09789496286774514
cg10272885,chr1:153631237,3.0739090843985504,1.236864634434184,1.0910309462475956,0.6711171794116051
cg10316635,chr1:62208645,0.8152204555763568,0.5175051831842361,0.221585538368347,0.4457098392774339
cg10409799,chr1:154600487,2.193397975770613,1.6718348196319808,1.8456152948060833,1.4269541396464493
cg10730174,chr1:170633559,0.9371488349990654,1.6389710378468483,0.3698894525703944,0.9930971915882425
cg10773309,chr1:32229411,3.5105337326663393,0.8348601032373614,1.4662517206627235,0.88513433219786
cg10892866,chr1:154934115,3.735321769096013,2.1017415963503487,0.9566576565590286,0.5770934412901538
cg10943191,chr1:1850414,4.221962717108596,1.1968380309399822,1.3631115661297653,0.9664504694522468
cg11246695,chr1:145576023,3.211913979261593,1.4059627701219477,1.0407754884396407,0.7509550098469132
cg11376198,chr1:19600730,0.22397866064770858,0.1151098995434673,0.1296633903745404,0.1071672062029565
cg11428724,chr1:18957632,2.0156444878946815,1.5575378265166817,1.1662150037258938,1.0616673818996125
cg11594415,chr1:171454668,1.7728484892785699,1.4073969781250133,1.382049323466056,1.0951710492000912
cg11666924,chr1:109289079,5.701988084655153,1.8422670782058317,2.695415588388419,1.687877431920639
cg11735358,chr1:111991797,1.4631640411671856,1.0933132834565313,1.3213311899035352,0.3174448366232792
cg12687922,chr1:113257872,4.2540229926085535,1.199313163199924,1.2093880483857413,0.6868444162785561
cg12688215,chr1:52499228,3.213542652249039,1.3381444104294526,1.5541210210234149,1.1352793488121984
cg12888039,chr1:202927266,2.4465484461582214,1.0864274063312502,0.937350245559602,0.43789930184583115
cg12888113,chr1:11107048,0.6025301836375286,0.6267449890363246,0.4878361322487382,0.5049593184059695
cg13249256,chr1:166958581,1.4314026416388532,0.8039740473403598,1.5353010247770391,1.1562081797610495
cg13283942,chr1:153606541,1.8851135414734743,1.6070308231950698,0.937343468987139,0.6607281312234978
cg13449778,chr1:179712298,1.4863462088411288,0.38851371385212846,0.5009583329916595,1.0082556282047024
cg13514129,chr1:39547527,4.0433562408361645,1.79472828349865,1.9102261313179187,0.46608928087494916
cg13599025,chr1:91966361,2.5021470654337783,1.3422513464442511,1.7831036125929873,1.251807977879731
cg13625205,chr1:151584902,1.9371697762957831,0.8563371786006966,1.2133819413304032,1.1191204880687067
cg13697378,chr1:68512845,4.287613427549823,2.20210712330597,2.247083930303331,1.4280894480441277
cg13724813,chr1:9353314,0.7704934982438931,0.6402384147531076,0.25054541259929725,0.01582102209998485
cg13841804,chr1:150207467,1.5301492353924493,1.0618336211862112,1.4122518720174966,0.6795807989904113
cg13904493,chr1:233464194,0.5338532451233662,0.2050526946262826,0.404240670086737,0.0
cg14155482,chr1:151171082,2.3633581319651995,0.9064760133809877,1.3847191027572328,0.8743809471998428
cg14297876,chr1:53704016,1.2316362547904178,1.1213600294399737,1.1492595210336984,0.6737856834457997
cg14455487,chr1:42800860,3.980290064193364,1.4023343346214057,0.9428218712384564,0.6590235434714101
cg14513226,chr1:212003502,2.0389431185109954,1.3258325891601772,1.2687110230512453,0.7199202252742358
cg14550007,chr1:41707370,1.8297708212140196,0.9124521435124618,1.146486208994787,0.40611491324449717
cg14550570,chr1:3712988,2.6113329618946275,0.9190806210449807,0.9949607223346644,0.42350498668645087
cg14841875,chr1:116916411,1.8926134180844276,0.7310586292993398,1.2795189025247484,0.43913129452346567
cg15103675,chr1:162531519,1.6494624000832327,2.045497562522603,1.4380824944919481,0.6269148126281705
cg15311933,chr1:19638897,4.447833998839457,1.9950894358152167,1.759848328302626,1.028379376327382
cg15482690,chr1:11072742,2.407128495171183,2.514752421147211,1.218022296107618,0.8784093300154678
cg15694180,chr1:155023435,2.9148325836866573,1.2622492778628247,2.2159242148411242,1.3545066087025954
cg15955341,chr1:110198890,5.177247927967747,1.2651834183203015,1.824200502357578,0.8866525897361394
cg16011258,chr1:16767021,4.196285452628671,1.8100273857390197,1.3305113268017472,0.9524588037904659
cg16268051,chr1:22379390,2.5815870752209737,0.7292855121845616,0.9054227402141118,0.48366723139015516
cg16382382,chr1:92351047,1.148343627738239,0.8919523163626616,2.1735807205376183,1.0824617196496882
cg16491909,chr1:154193730,1.5584771512749784,1.2299145351249976,1.82123102422367,0.6218760836674389
cg16534233,chr1:42846477,1.1593509148481183,1.0372680688736742,0.3439909976876882,0.01750803004922415
cg16582344,chr1:228270207,4.25436233344518,1.4503411442561638,1.8211614654545771,1.4275111085793324
cg16632891,chr1:54872978,1.8913530975654536,1.7736178300624477,1.373057933816886,1.0752550643634171
cg16739396,chr1:63249836,1.9776004251101962,1.3098781015212995,1.3797407199319758,0.6421878324482506
cg16743781,chr1:113249654,2.292897264261793,1.4468594786532205,1.1742984294482597,0.6168192022682129
cg17057965,chr1:224301873,1.1731278236370135,1.7015516743101087,1.3719882551868658,0.925549353744621
cg17079378,chr1:46713440,2.5914919770269322,1.488900973761171,1.1293949342873923,0.8514352834730077
cg17257175,chr1:155163542,4.588095884965245,2.0204309225082397,1.6194262335128022,1.2405436140046155
cg17386433,chr1:28052708,2.192163171019043,0.9051097737732077,0.8044394271034849,0.14824743140628213
cg17720231,chr1:159915374,3.6304647907651866,1.5502454085540296,1.2102140889798019,1.2062772069488679
cg17829314,chr1:38274017,2.3775827346597227,0.7194852900140898,0.8631621944042215,0.5822635370299704
cg17892328,chr1:182360794,2.7599343719922396,3.556663353246941,2.0340479799636877,0.8698597022720108
cg18127191,chr1:91966734,2.242582018833208,1.8489119197959614,1.5437633946649452,1.5180437958745885
cg18335243,chr1:186649519,1.0500736260354668,1.0813664088671344,0.6383814167352091,0.3170422728259367
cg18580491,chr1:36273890,0.9060255318062561,0.5481230692375925,0.1261393765586793,0.07201521176649746
cg18815943,chr1:47882314,0.19138444376705294,0.4604390182920228,0.2722233161608923,0.14218656150182882
cg18825999,chr1:24286530,1.5510786698940686,1.3988771081862603,1.4607047642258337,0.8494979297728312
cg18830459,chr1:33429781,2.067938556546285,1.2999974029914398,2.0158968047608163,1.0005277525308423
cg19234509,chr1:115124245,1.5069358927056082,1.0988415973144874,1.329061844848338,0.7167227164914186
cg19452316,chr1:206680966,2.5334063459215614,1.316997279252792,1.4022550102778504,0.39402638424067127
cg19622360,chr1:236958982,5.33820741491722,2.1190375731770237,2.331323441721852,1.687427256470012
cg19783114,chr1:3569046,1.771145773796072,0.814980948097688,0.6967671318095818,0.318931819959323
