ProbeID,GSM2178671,GSM2178685,GSM2178661,GSM2178669,GSM2178682,GSM2178665,GSM2178676,GSM2178662,GSM2178672,GSM2178670,GSM2178683,GSM2178666,GSM2178684,GSM2178686,GSM2178655,GSM2178675,GSM2178677,GSM2178688,GSM2178664,GSM2178678,GSM2178658,GSM2178693,GSM2178663,GSM2178674,GSM2178659,GSM2178680,GSM2178694,GSM2178660,GSM2178668,GSM2178691,GSM2178656,GSM2178679,GSM2178689,GSM2178692,GSM2178673,GSM2178690,GSM2178657,GSM2178667,GSM2178681,GSM2178687
cg19945840,0.448385288938651,0.403254713391554,0.391002080010492,0.450981266087323,0.32531615835668,0.388614999810512,0.440417795346489,0.433541056889876,0.469331419285508,0.43776479388282,0.440024109758286,0.380618282258371,0.40945218846864,0.41510346487001,0.415798832001982,0.417727862223215,0.396426443825494,0.403164660008431,0.447262465937115,0.440257301494884,0.405134800397796,0.397310062245052,0.478600681615334,0.444045469249556,0.433628511255221,0.444250689391687,0.411418982807694,0.385858783596205,0.468936975987143,0.428184078654611,0.467660944322685,0.448548914204016,0.429126577903614,0.373249419803959,0.459556073445258,0.416485147242857,0.474176016674407,0.454739673527773,0.465906000510653,0.423052526907774
cg13319175,0.955307589089995,0.969150199643385,0.975922831966381,0.969719181602759,0.94266896751872,0.977100960392479,0.974439665498164,0.976868948051733,0.970761338831808,0.964595392935638,0.978455512502836,0.965015130277042,0.966719780957186,0.969943334781398,0.977411501002856,0.952206888474747,0.954751317077184,0.95830208272107,0.97446324346873,0.956937578172371,0.971324528001205,0.943157305858588,0.975998912739174,0.959621586459831,0.987979266439477,0.971714358240652,0.947439462121685,0.963872902491085,0.949590854774988,0.955454540428874,0.947037772595171,0.964145164965875,0.959447378474573,0.950696807343454,0.966214399507296,0.958836460257017,0.969405466036638,0.970892508038584,0.951019682480725,0.970497804650674
cg21211748,0.032023426794576,0.0381182958863903,0.0295945514911775,0.0276773626386613,0.0342727832206708,0.0392782573478988,0.0326442551289944,0.0192948148038911,0.0227029679846809,0.0311506519829924,0.0294819638947363,0.0266907351660315,0.0222019623569775,0.0408153620946748,0.0217049800603133,0.0356940381334669,0.0307547685903797,0.0457500598449162,0.0331193320383717,0.0370092987681561,0.038234750933423,0.0305993678298718,0.0293731288549751,0.0325951991462483,0.026316047560442,0.0308280521348884,0.027107760118335,0.0337629796522556,0.0290918277408779,0.0303104481948623,0.0384065956729438,0.0246801645582053,0.041683969450746,0.0299941431186949,0.035661180722529,0.0334870030920964,0.0331074331758093,0.0328318436039318,0.029810570566011,0.0335768213690165
cg19420968,0.970815969010196,0.969333389459271,0.967314741286764,0.980053884325662,0.968421338733057,0.977585257847184,0.980268145964205,0.97124429894611,0.973696859207317,0.986519861369677,0.975286060944586,0.969148124706672,0.972693039291776,0.958563586571162,0.980531277327431,0.962406323691379,0.975415756617627,0.97959786626094,0.983408436218438,0.955942365526242,0.973254026229806,0.970812584456316,0.973671241948992,0.974279341038346,0.985874401872214,0.965327150548437,0.956721778194962,0.982179828996481,0.976478848849633,0.985747789561505,0.962672002377537,0.968645053413904,0.932037299223241,0.962421782860109,0.97518300981395,0.985435983762743,0.989409451148865,0.975725553606654,0.983080047480329,0.980352631247736
cg14992253,0.115092855958227,0.10307055549686,0.0972999094362632,0.0651973125412235,0.0945796678613207,0.053859655963686,0.0800892229246926,0.121468215769163,0.1128961044766,0.0908496167777939,0.102115548591084,0.120223776539174,0.0601887629674791,0.120167425480624,0.0752093010435467,0.0800221236975634,0.0943700594607575,0.0815626181969169,0.108795615919403,0.101533490742241,0.0737270279206149,0.0815239755908134,0.0508347208689008,0.122017642255948,0.0667024755604645,0.0818716831300874,0.101454675903021,0.0827562308567863,0.0918754141292609,0.146839407472243,0.0799263351303212,0.0916416640518636,0.135535102138741,0.12444431472029,0.0848799464206302,0.0617550687332462,0.097569224797437,0.133384508872055,0.116837487904316,0.106545076072854
cg26372517,0.33270491293256,0.253491233678735,0.174893287560622,0.258214929036167,0.316261982568979,0.234532800374647,0.295282115087257,0.289973717916667,0.231551564479438,0.58716255456402,0.23263222468619,0.168768289555911,0.298457110847686,0.266752014172093,0.163510271101568,0.227936793862701,0.213611462780694,0.239846806895698,0.233939330291101,0.111319492144041,0.197053183308021,0.190814237216136,0.32673484649489,0.289610711159501,0.0854134658588721,0.303962746775203,0.216606530191915,0.205615312056409,0.135823162005301,0.114299785214514,0.185829332097382,0.227033627866787,0.204114924432292,0.242571987091548,0.302472346083135,0.0611634323886272,0.384243496629014,0.105648245354561,0.284343992494021,0.270503652334809
cg19046959,0.0583300039072323,0.0577000280258013,0.0554797511852344,0.0466902818049461,0.0320925484343368,0.0294199932539105,0.0453390127128642,0.05292337583372,0.0667923950564592,0.0560065301088067,0.0548605935647533,0.0508248406438612,0.0352667059058145,0.0530916107418942,0.0600817063856519,0.0385321019444246,0.0501224022553201,0.0595746332433126,0.0597543826433001,0.0431805375323664,0.05010176079121,0.0356703642465306,0.0644775589010705,0.0604037462386184,0.0294221765285121,0.0512203524120474,0.0501448890252029,0.0342605570098501,0.0305662465980344,0.0547761273583747,0.0378782059456341,0.0476531929455114,0.058267089279982,0.0522982666066981,0.0287643212459007,0.041955063013585,0.040151690052067,0.0373916864148777,0.0307488290841372,0.0436611587502296
cg07388493,0.59834364828303,0.519671969187704,0.613283152935282,0.59886546436733,0.551574222221252,0.626278844042801,0.522500652476318,0.609966904246142,0.514919405055671,0.523859714805205,0.607632316779518,0.560388697478612,0.569874625670767,0.523874386454402,0.526486710854206,0.494078726911518,0.529253416655393,0.596915819576953,0.503882299258608,0.487864164586097,0.551122018288977,0.525801933464474,0.643626927926016,0.561619654972528,0.61192827149763,0.496851996090345,0.500230723874561,0.598726134102454,0.6114896154396,0.522609819837984,0.496011138442909,0.518524402309967,0.550718507694518,0.588100947607634,0.53587133818737,0.538256158511288,0.582408089593906,0.625826531311104,0.605054711465943,0.555525406006902
cg19044674,0.0341547628802013,0.0266198922923036,0.0320024628735246,0.0319445862665577,0.0324365779989374,0.0372423757922027,0.0267843534044644,0.0330039849491987,0.023193192126773,0.0333992295565553,0.0263340852582802,0.0259379196984376,0.0259537248548843,0.0274707598680386,0.0323238470846765,0.0315384962719806,0.0297536845093107,0.0320205166394439,0.0386145298930706,0.0238781995729308,0.0285071497316722,0.0277171914240452,0.0421419320837424,0.0315638691539645,0.0586855946197353,0.0306847378763729,0.0314823964767357,0.0587676636178281,0.0243447702594341,0.0334858164836913,0.0318419005515191,0.0307859816035603,0.0297063820406134,0.0360005764708681,0.0344550936182847,0.0332142972338011,0.0221236108611431,0.02903245388776,0.0202625646039157,0.0264920782993904
cg23786576,0.0204595686503289,0.0200691091229078,0.023167982412995,0.0188899013686695,0.0183034832614964,0.0245623217136263,0.0195456671537062,0.0159399310539867,0.0168499032332581,0.0177167956875233,0.0197327356168942,0.0198058228223432,0.0172677645259521,0.0185410404206986,0.0177894211220735,0.0300964006243947,0.0263727506590069,0.0189894439184771,0.0218973760424799,0.0249152746395895,0.0181988371625951,0.0175780773245854,0.0310632330687103,0.021808986603032,0.0166815920054097,0.0239530824642109,0.0207430645171945,0.0197960829922479,0.0224693488256979,0.0275674985233836,0.0138715461896669,0.0196259499893735,0.0208228033673418,0.0185902771683372,0.0208420489480742,0.0146573271678385,0.0163217116319428,0.0151136866551923,0.0167637846832925,0.0168051488894476
