SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
GSM2178671,11.9580732145135,11.3170670217856,13.3308137672321,8.35583741477966,F,PASS
GSM2178685,11.6272171727017,11.3178405039159,13.2613028981704,8.577116054905,F,PASS
GSM2178661,11.75254470307,11.3724628532006,13.3276082490488,8.53057260899219,F,PASS
GSM2178669,11.8084537681966,11.3912481036153,13.404252291497,8.51158125902226,F,PASS
GSM2178682,11.3407369902786,11.0736822772446,13.0137839172746,8.21036167473601,F,PASS
GSM2178665,11.6488850793221,11.2534073750953,13.3406656879718,8.50044835895447,F,PASS
GSM2178676,11.8980398441328,11.3698361729266,13.3939136109759,8.42377924430252,F,PASS
GSM2178662,11.9124304116263,11.3258595307773,13.4353508280886,8.48853031761598,F,PASS
GSM2178672,11.6187065359408,11.0481648453956,13.0852261221282,8.12479717421699,F,PASS
GSM2178670,11.9831807085779,11.1875989565621,13.3383595869261,8.25027062411542,F,PASS
GSM2178683,11.660410218015,11.2630437825521,13.2775281030559,8.25442342612845,F,PASS
GSM2178666,11.4434362545693,11.0171571276635,13.0341695253787,8.14766876860597,F,PASS
GSM2178684,11.9870323615736,11.5969647906645,13.5746478655243,8.72431773712361,F,PASS
GSM2178686,11.6656796773444,11.328421694407,13.1619775721982,8.29469748040625,F,PASS
GSM2178655,11.8842343687675,11.4772317411053,13.5031086954068,8.77395955164256,F,PASS
GSM2178675,11.7519599103239,11.3261556751865,13.2936631022494,8.49464082445351,F,PASS
GSM2178677,11.3811631214556,10.9726298959401,12.992544318378,8.26203756977573,F,PASS
GSM2178688,11.6880038769877,11.2776792918187,13.1696330594098,8.32412790782958,F,PASS
GSM2178664,11.788647398159,11.2757831995589,13.2489017346177,8.48804917260372,F,PASS
GSM2178678,11.8112967348544,11.2263972573613,13.1930635809888,8.29461651693395,F,PASS
GSM2178658,11.38452170827,11.2232341404622,13.1458015180781,8.69142054632177,F,PASS
GSM2178693,11.7615328783691,11.5424371872364,13.3902576456109,8.62803692223784,F,PASS
GSM2178663,11.53693489795,11.041293549157,12.99433790393,8.19920775981932,F,PASS
GSM2178674,11.8081925273679,11.276044855738,13.2201883692569,8.37796408349349,F,PASS
GSM2178659,11.8069907303643,11.5172709148099,13.4588077249441,8.73163602894799,F,PASS
GSM2178680,11.879731465047,11.6829402194437,13.5646980111089,8.80737806120525,F,PASS
GSM2178694,11.5883274505271,11.2987347780955,13.1419587607289,8.33330542233109,F,PASS
GSM2178660,10.9922104468075,10.7716391736231,12.6833328033982,8.27162104378496,F,PASS
GSM2178668,11.6155909284773,11.2934879196518,13.2265589735495,8.59025159221189,F,PASS
GSM2178691,11.6043487441268,11.3371411635127,13.2639927217556,8.57941627155923,F,PASS
GSM2178656,11.88293202472,11.3715867766995,13.3901512402456,8.54843097255259,F,PASS
GSM2178679,11.9174239237129,11.4752420595173,13.4568232791995,8.61448656312549,F,PASS
GSM2178689,11.9294566647743,11.4038890987059,13.3631204511192,8.41105070534568,F,PASS
GSM2178692,11.8785117625734,11.553513641045,13.4777424490705,8.62888319134738,F,PASS
GSM2178673,11.8535782780485,11.5641340154891,13.4203729433397,8.62338330851163,F,PASS
GSM2178690,11.614800128224,11.3180447771671,13.2728875664711,8.48944622259844,F,PASS
GSM2178657,11.2425071053016,10.8686481823934,12.9858073433112,8.13158344883842,F,PASS
GSM2178667,11.796217541985,11.166438412908,13.2848579989576,8.37611132801744,F,PASS
GSM2178681,11.7038172559262,11.1551868019105,13.2796564213241,8.32594081126303,F,PASS
GSM2178687,11.2190978304043,10.7903259016011,12.9078526233552,7.98712481765881,F,PASS
