GEO_sample,pcgtAge
200049730032_R04C02,0.0297153977752573
9297949061_R01C01,0.033579893261329
9297949061_R01C02,0.035957480853856
9297949061_R02C01,0.0347284992416
9297949061_R02C02,0.0326448225163778
9297949061_R03C01,0.0308018744472592
9297949061_R03C02,0.0317435557088737
9297949061_R04C01,0.0347549626768909
9297949061_R04C02,0.0427368361344761
9297949061_R05C01,0.0359609352496688
9297949061_R05C02,0.0363626951173697
9297949061_R06C01,0.0462186181481886
9297949061_R06C02,0.037696996989156
9297949140_R01C01,0.0305183570171442
9297949140_R01C02,0.030777878168968
9297949140_R02C01,0.0280275227019988
9297949140_R02C02,0.027278220629541
9297949140_R03C01,0.0280364281341677
9297949140_R03C02,0.0262663685518501
9297949140_R04C01,0.0296836840000539
9297949140_R04C02,0.0301387224770093
9297949140_R05C01,0.0263473801481566
9297949140_R05C02,0.0283848542153636
9297949140_R06C01,0.0317001908894487
9297949140_R06C02,0.027883053036661
9297949145_R01C01,0.0313589404399357
9297949145_R01C02,0.0349592628764882
9297949145_R02C01,0.0412214656460761
9297949145_R02C02,0.0381087548456467
9297949145_R03C01,0.0318924138762115
9297949145_R03C02,0.0358999267012575
9297949145_R04C01,0.0315427951767056
9297949145_R04C02,0.0333042965676182
9297949145_R05C01,0.041989381086239
9297949145_R05C02,0.0298929927769754
9297949145_R06C01,0.025294990564259
9297949145_R06C02,0.0354104682003303
9297949151_R01C01,0.0418464161039356
9297949151_R01C02,0.0314169588803832
9297949151_R02C01,0.034330123939401
9297949151_R02C02,0.0332446857915769
9297949151_R03C01,0.0344878826433342
9297949151_R03C02,0.0367009957271251
9297949151_R04C01,0.0341818592103072
9297949151_R04C02,0.0347263043338138
9297949151_R05C01,0.0307844187007566
9297949151_R05C02,0.0312660786227191
9297949151_R06C01,0.0311712499988364
9297949151_R06C02,0.0359697066449737
9376537037_R01C01,0.0300187599047449
9376537037_R01C02,0.0275398235316923
9376537037_R02C01,0.0336610957674362
9376537037_R02C02,0.0362246356316517
9376537037_R03C01,0.031498041349054
9376537037_R03C02,0.0310625387359331
9376537037_R04C01,0.0320145924066514
9376537037_R04C02,0.0316483974190002
9376537037_R05C01,0.0358132349434222
9376537037_R05C02,0.0323449127584512
9376537037_R06C01,0.0346722444607848
9376537037_R06C02,0.0354528679215276
9829118108_R01C01,0.0293170357768255
9829118108_R01C02,0.0354887844550698
9829118108_R02C01,0.0301176455905
9829118108_R02C02,0.0289959485759349
9829118108_R03C01,0.0344718906985507
9829118108_R03C02,0.0319240175611625
