SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
3998568164_R01C01,11.32295381,11.1835468,13.02048177,8.575090357,F,PASS
3998568164_R01C02,11.13062838,11.02595174,12.36748247,12.38001243,M,PASS
3998568164_R02C01,11.40732172,11.24244431,13.10923371,8.752594599,F,PASS
3998568164_R02C02,11.4411734,11.33221113,13.11399138,8.676027719,F,PASS
3998568164_R03C01,11.47204561,11.1882979,12.56986871,12.59210639,M,PASS
3998568164_R03C02,10.97363692,11.27119252,12.51340687,12.37810882,M,PASS
3998568164_R04C01,11.61047302,11.23642639,12.70347944,12.67524938,M,PASS
3998568164_R04C02,11.67271628,11.35937151,13.28278621,8.868640747,F,PASS
3998568164_R05C01,11.59934582,11.59219346,13.36898548,9.036412677,F,PASS
3998568164_R05C02,11.76734698,11.61881916,13.38104434,8.865595415,F,PASS
3998568164_R06C01,11.5486156,11.45140226,13.32834848,9.02596629,F,PASS
3998568164_R06C02,11.90468103,11.60561335,12.86728442,12.97838008,M,PASS
3998888026_R01C01,10.56095251,10.6845684,12.11178908,12.04693892,M,PASS
3998888026_R01C02,10.6183519,10.37382677,12.56508465,8.147198176,F,PASS
3998888026_R02C01,10.47169545,10.79286947,12.08906452,12.04323524,M,PASS
3998888026_R02C02,10.53001546,10.78922925,12.10052563,11.96140679,M,PASS
3998888026_R03C01,10.97526465,10.77992555,12.21865112,12.28516471,M,PASS
3998888026_R03C02,10.86762781,10.81745678,12.81705347,8.323275705,F,PASS
3998888026_R04C01,10.97812282,11.09334689,12.44331125,12.44991642,M,PASS
3998888026_R04C02,10.85553965,10.79503611,12.87377005,8.361529361,F,PASS
3998888026_R05C01,9.368335308,9.423506454,11.55354641,11.265942,M,PASS
3998888026_R05C02,11.20657971,10.93807162,12.43227485,12.494402,M,PASS
3998888026_R06C01,10.78183062,10.81254078,12.32315071,12.26113095,M,PASS
3998888026_R06C02,10.86559755,10.7986961,12.9254168,8.513702705,F,PASS
3998888043_R01C01,11.20695237,11.06405772,12.85877649,8.197097211,F,PASS
3998888043_R01C02,9.328795282,10.15847448,12.07584355,9.358042219,F,PASS
3998888043_R02C01,11.29588807,11.32386978,13.10935812,8.467489228,F,PASS
3998888043_R02C02,10.09946933,10.85820299,12.71758429,8.812104906,F,PASS
3998888043_R03C01,11.63464003,11.33889342,13.24629662,8.62983884,F,PASS
3998888043_R03C02,11.16610719,11.39376901,13.17778031,8.677078073,F,PASS
3998888043_R04C01,11.45738634,11.52688415,13.25914879,8.568091419,F,PASS
3998888043_R04C02,11.76451827,11.61474747,13.37831596,8.641549478,F,PASS
3998888043_R05C01,11.15742371,11.43686979,12.70989523,12.59386683,M,PASS
3998888043_R05C02,11.36477706,11.44269186,12.8138828,12.77472057,M,PASS
3998888043_R06C01,11.4018209,11.5049076,13.36501166,9.590739841,F,PASS
3998888043_R06C02,11.5817516,11.77880425,13.36355848,8.811154991,F,PASS
3998888064_R01C01,10.62505994,10.62554726,12.58277401,8.104091541,F,PASS
3998888064_R01C02,10.67379892,10.6447214,12.12968275,12.03954113,M,PASS
3998888064_R02C01,10.89334798,10.87387302,12.83749413,8.266972119,F,PASS
3998888064_R02C02,11.09088367,11.01453922,12.31494214,12.44960155,M,PASS
3998888064_R03C01,11.04145512,11.03288659,12.92057812,8.294037269,F,PASS
3998888064_R03C02,10.86466615,10.90100925,12.29495449,12.2897219,M,PASS
3998888064_R04C01,10.9591677,10.98890099,12.39581129,12.40297606,M,PASS
3998888064_R04C02,10.03582387,10.42141226,12.57716265,8.498567884,F,PASS
3998888064_R05C01,11.06030644,11.0620908,13.03320237,8.447356357,F,PASS
3998888064_R05C02,11.49212422,11.27545679,13.22045196,8.505022036,F,PASS
3998888064_R06C01,11.22897578,11.11115709,13.07927355,8.377004035,F,PASS
3998888064_R06C02,11.35574854,11.17250118,12.60511587,12.64680001,M,PASS
3998909015_R01C01,11.28797466,11.20620137,12.46149875,12.56814932,M,PASS
3998909015_R01C02,11.02755161,11.11210854,12.36361885,12.39223749,M,PASS
3998909015_R02C01,11.30716245,11.27235267,12.58017899,12.56096202,M,PASS
3998909015_R02C02,11.2652992,11.35164142,12.55294314,12.49671005,M,PASS
3998909015_R03C01,11.55889951,11.41113313,12.70909925,12.71532777,M,PASS
3998909015_R03C02,11.44645297,11.37882071,12.65763503,12.63899192,M,PASS
3998909015_R04C01,11.69050477,11.61775677,12.88037411,12.8373256,M,PASS
3998909015_R04C02,11.46447629,11.33349888,12.66182744,12.6588716,M,PASS
3998909015_R05C01,11.94387323,11.7879434,13.09698275,13.08455454,M,PASS
3998909015_R05C02,11.75228978,11.69496337,12.9622262,12.93198314,M,PASS
3998909015_R06C01,11.83715538,11.89793986,13.2160797,13.18765592,M,PASS
3998909015_R06C02,11.82189128,11.76409336,13.08009049,12.99728493,M,PASS
3998909052_R01C02,11.48272857,11.10947008,13.00641877,8.626767392,F,PASS
3998909052_R02C02,11.22038747,11.22670421,12.52105713,12.41585107,M,PASS
3998909052_R03C02,11.49245519,11.14942587,12.62122906,12.58620572,M,PASS
3998909052_R04C02,11.4301237,11.28415889,13.23214298,8.890829412,F,PASS
3998909052_R05C02,11.31202843,11.43344796,12.7178856,12.62983459,M,PASS
3998909052_R06C02,11.57028234,11.64810155,12.98101414,12.89188361,M,PASS
3998920115_R01C01,11.28973139,11.19013401,13.05970235,8.626944974,F,PASS
3998920115_R01C02,11.46822846,11.35466975,13.08089668,8.495579622,F,PASS
3998920115_R02C01,11.57543997,11.48148776,13.23018289,8.586520405,F,PASS
3998920115_R02C02,11.58069241,11.33914352,13.18126948,8.581522582,F,PASS
