ProbeID,GSM3227759,GSM3227760,GSM3227768,GSM3227769,GSM3227770,GSM3227771,GSM3227772,GSM3227773,GSM3227785,GSM3227797,GSM3227798,GSM3227757,GSM3227758,GSM3227765,GSM3227766,GSM3227767,GSM3227780,GSM3227790,GSM3227791,GSM3227792,GSM3227795,GSM3227796,GSM3227755,GSM3227756,GSM3227764,GSM3227775,GSM3227777,GSM3227786,GSM3227787,GSM3227788,GSM3227789,GSM3227793,GSM3227794,GSM3227761,GSM3227762,GSM3227763,GSM3227774,GSM3227776,GSM3227778,GSM3227779,GSM3227781,GSM3227782,GSM3227783,GSM3227784
cg19945840,0.418303187070945,0.435715739845959,0.411208569241117,0.382523875052618,0.424019589956184,0.346113156840736,0.423202658190851,0.353466866156858,0.438921977904039,0.401307529843424,0.471001219670911,0.482902251044266,0.412206038466277,0.421560067096182,0.405933568753613,0.352074705088199,0.370243149799467,0.39443958534929,0.414971798481316,0.420618262507646,0.475417747390385,0.46074838654028,0.416698106475622,0.378625078792417,0.402437293632754,0.37291383371283,0.393511993292579,0.402482946917971,0.422416462970632,0.423086511699803,0.412817928768014,0.443707300170546,0.477707429355084,0.436647832023872,0.409886903834889,0.424253832282806,0.407999847416068,0.397564637023268,0.389234985908674,0.418344121651595,0.443489973870748,0.430992061284793,0.439645292989522,0.433966309066709
cg13319175,0.959172922222664,0.96343921922456,0.956465179191427,0.968270826133361,0.945312834455602,0.962972327113969,0.973139058291962,0.974817876044605,0.931491426478328,0.957698629996484,0.968720819569509,0.958206178181839,0.969176714359507,0.97132471751714,0.961472646921866,0.955508977694488,0.934922233044292,0.965384198517909,0.947506601391413,0.967633086713323,0.957511279323252,0.957044132946629,0.968378924860731,0.957985008064414,0.953893045250682,0.941332166101205,0.954711856729407,0.96134303274064,0.957750948195735,0.960409398094142,0.963175790580404,0.965015448894185,0.958657840851163,0.970554970880319,0.96933481749703,0.965891790013488,0.946323161966713,0.955775764260866,0.967195919700965,0.951563908109038,0.957379559439811,0.95892104217028,0.969439715754621,0.953378779554634
cg21211748,0.056739906584082,0.045735075797386,0.040351403584813,0.0384750299971021,0.0455881916764428,0.0354964874391008,0.0313750137073043,0.0453883089430933,0.0226188299041829,0.042297065969307,0.0363150122168404,0.0390935438268682,0.0392873030997838,0.0325040780208444,0.0330508871704314,0.0355655241794306,0.0336789332156699,0.0425742111961146,0.0333419327902196,0.0373724814648823,0.0322787010622789,0.0323253564727902,0.0511690150765234,0.0365677901113838,0.0390227883592812,0.0352032876793352,0.035321267430069,0.0452149593569814,0.0321428237661618,0.0477031714404198,0.0280884928594566,0.0368411592601097,0.0359912767206718,0.0396702212658228,0.0356663890578663,0.0465003525662268,0.0509940856619786,0.034321711403216,0.0406072154548156,0.0358732494979754,0.0454852223332498,0.0474856976315137,0.0551751762124939,0.0337173052953362
cg19420968,0.971535156469996,0.959301416043605,0.961021704145086,0.975062764100178,0.968530537925735,0.975439599599859,0.961093954597442,0.973046146970438,0.967320636674198,0.969811182854171,0.946053811734989,0.971920786299844,0.970496065647567,0.960351333267024,0.961283085389006,0.970562063251248,0.968486795915185,0.953716223573729,0.971081192418426,0.977518369240817,0.965723856733211,0.96207046669504,0.964103906459614,0.98405566118197,0.974665942968599,0.953866750705698,0.968351393749771,0.981460056443023,0.94846333385611,0.970989967353917,0.960522340201788,0.971142833854411,0.961997916076341,0.966944800650068,0.961569596756136,0.984173854613976,0.967049117015465,0.945627989125047,0.968637660128148,0.962549102324527,0.96354533607324,0.974037822630009,0.952017146969363,0.96617770381129
cg14992253,0.119417674454423,0.105752945299981,0.0987814036893546,0.105627494092768,0.0645835770042834,0.0609817854761527,0.0752218476441843,0.0776517977506922,0.0718839951636524,0.106863474920043,0.150789775516431,0.105144943618786,0.0898794935737895,0.116992486718094,0.0581889237325751,0.0982321992957023,0.128423403878538,0.105214402735629,0.0897689945862802,0.0463730054638418,0.127245319268612,0.100694244932003,0.0470791793981055,0.0897259413210111,0.0618431763367838,0.0756509921596279,0.0637624940224505,0.0621203778018941,0.0760372625434667,0.058371922003849,0.0961507412023604,0.108874688051613,0.0944360344774766,0.113090904273903,0.105983610580992,0.113735311193458,0.108568824083216,0.0795575245056437,0.0669787886099289,0.102152384449445,0.100922889842858,0.0891888817731122,0.104846174601297,0.0684845606304252
cg26372517,0.0623254988121855,0.197776878388794,0.11887673652071,0.0341615330299834,0.0551284790577287,0.0912517388494332,0.0611744525335225,0.315184317467415,0.186873444474807,0.224647416886641,0.313378700580288,0.292606031635058,0.145417355242931,0.166716908450801,0.0554864957423289,0.228083063502264,0.0738413407255251,0.0565252376195048,0.174448376614217,0.0675414536791907,0.241664946563576,0.287920306641545,0.148379276874723,0.0313469936728712,0.0967056023123864,0.188171018943359,0.0555119965389221,0.0936753995301845,0.0987009881240732,0.0697762360626432,0.0887066978389018,0.328722466541445,0.248070332553515,0.295678889356919,0.11211673633602,0.0800263937526735,0.0370957414889268,0.132180640458371,0.0603621373969272,0.186643284315651,0.266195034586444,0.085714482419496,0.276495898867071,0.0476703494071072
cg19046959,0.0997864056033251,0.054216203033145,0.052086833794309,0.108109879167344,0.0741187935436251,0.0617310511951864,0.0645486166971873,0.0483024461871241,0.0686506243642767,0.0581468057948669,0.042197086793624,0.0334996931028144,0.0569461233716163,0.0631575577493187,0.0411930698476997,0.0838366099192456,0.0564621497592301,0.104076351278157,0.0874206873541637,0.05027846333657,0.0245128929643555,0.0517851584251519,0.0449431903899966,0.14677425756004,0.0582324849186233,0.0977926930873215,0.0977602437504827,0.0793897868062052,0.102773897022951,0.0969400141120822,0.0635726977817707,0.0470683368195601,0.0383562928917667,0.0640864634550501,0.119688282073556,0.0705251190178326,0.0550236512811479,0.0674778497205663,0.0763783173633393,0.137545298590087,0.112828776362107,0.105118867771801,0.116359761526729,0.086615876791471
cg07388493,0.678251696531696,0.512122829593469,0.598680610976419,0.702122066196001,0.613884050242042,0.594927629722051,0.625918206441067,0.607143566830025,0.562067931224461,0.573631936054981,0.483971139661108,0.587272171790037,0.465703675144893,0.660012787666312,0.601508426313542,0.585805321510539,0.605734235443736,0.627457756746005,0.591534072820086,0.546439971088576,0.483031830643189,0.475319082114477,0.666650527580235,0.824357763519948,0.627429996748166,0.614565611790427,0.608854805645569,0.62957858331546,0.485299049356364,0.634254599415589,0.467644111843855,0.515758029906237,0.422272190135522,0.620159224409144,0.660925946019768,0.576905335646983,0.516567777948907,0.472569342549092,0.541869178401859,0.658984139833996,0.632393013693771,0.666136961305281,0.62305555566066,0.54945817962183
cg19044674,0.0210698792322862,0.0271276518781072,0.0323362817253454,0.0336798563703137,0.0342664940352719,0.0448069000974436,0.0460304095282987,0.0267961920416828,0.0353873253133357,0.0385095591133157,0.0278045069899194,0.0256958398623222,0.0363140054060423,0.0306038611271436,0.0261593316493448,0.029603838814486,0.0372145979964218,0.033396823427574,0.0310740319372297,0.0261013517624897,0.0415162492943723,0.0331664684530342,0.0385916186604935,0.0254439781455919,0.0300630550024561,0.0357537633755463,0.0307351661730058,0.0384319001539127,0.030769454615214,0.0309156861801173,0.0348429729723787,0.0390494991260433,0.0389571863484106,0.0280831116860934,0.0268686013588974,0.0318607816135825,0.038721638986165,0.0354642972725968,0.0391821733770689,0.0302435227826392,0.0317927652507899,0.0304897915923603,0.0235068121006271,0.0394526934003007
cg23786576,0.0269274917864335,0.0241288909649393,0.0331256462335177,0.0234858746821443,0.0320956259457689,0.0245256160434249,0.0234853826098415,0.0223375905557014,0.0222603604790586,0.021944476152139,0.0182426315774846,0.0189213687114354,0.0177805847480478,0.0252409421984286,0.0258448034180508,0.0262864030772953,0.0258721881464746,0.014932581742446,0.0220567209332307,0.0219558006832611,0.0207947871241923,0.0199191764371932,0.0306614004775808,0.0212707632865713,0.0219019846002271,0.0310257897647858,0.0269581193927186,0.0247139858522812,0.0279282900647899,0.0228084545892231,0.0301691814547417,0.018706730553715,0.0239150803186827,0.023178904469018,0.0293144443177651,0.0238490652043796,0.0221868183346508,0.0218989098468946,0.0290417664261186,0.0275115527421527,0.0341042449763732,0.0240863417989567,0.029584594293207,0.0177054160440144
